validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
GroupKFold5,increment,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N,0.14071295138027184,0.31180636792330835,0.479341296163517,18.034679404860146,16.24703226984927
GroupKFold5,increment,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N+H,0.1418290741971543,0.31139998663615115,0.4790298882353995,18.14150587125835,16.301443058911854
GroupKFold5,increment,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Spatial,0.14337328081056788,0.31141301670212673,0.47859870712366215,18.13808062519241,16.376781232414164
GroupKFold5,increment,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Persistence,-0.30284918867238564,0.32797169014084504,0.45069727650001346,0.0,0.0
GroupKFold5,increment,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N,0.19850402204368323,0.2564662545147201,0.35349928029622874,21.802319460992944,21.566137909373815
GroupKFold5,increment,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N+H,0.2000073194529436,0.2555839356739405,0.35316761052930234,22.071342327082604,21.639728273509593
GroupKFold5,increment,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Spatial,0.20170968678503987,0.2556098599987802,0.3527916438456842,22.063437887273,21.72314716757033
GroupKFold5,increment,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Persistence,-0.2996299385302452,0.33387717746478873,0.46848693487392,0.0,0.0
GroupKFold5,increment,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N,0.2184910347594432,0.26084312191151626,0.36329097777757835,21.874527665484045,22.454405718838707
GroupKFold5,increment,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N+H,0.21969874704743242,0.2608577964662744,0.3630101616669535,21.870132469960485,22.51434679503978
GroupKFold5,increment,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Spatial,0.21493556277406778,0.2625187256308925,0.3641164354312204,21.372665354289392,22.27820920359027
GroupKFold5,increment,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Persistence,-0.34743974181491466,0.3215341802816901,0.42753719895557984,0.0,0.0
GroupKFold5,increment,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N,0.18053584897133368,0.2568293789028409,0.3334142911251488,20.123770767438327,22.015138813736343
GroupKFold5,increment,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N+H,0.1787250235258614,0.25616783810572646,0.3337824719112664,20.329515860085984,21.929022146691455
GroupKFold5,increment,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Spatial,0.185996080662015,0.254843254100188,0.3323016359645817,20.74147330870872,22.275386381266188
GroupKFold5,absolute,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Persistence,0.9661584577729676,0.6243554827586206,0.8675567423529071,0.0,0.0
GroupKFold5,absolute,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N,0.9793048761061571,0.5496881859228362,0.6784327921273671,11.959100047600804,21.799605834727952
GroupKFold5,absolute,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N+H,0.9892001624841837,0.37510745293539366,0.4900963034440736,39.92085225582742,43.50844394167466
GroupKFold5,absolute,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Spatial,0.9911369190806637,0.33341806145290454,0.4439818058190577,46.598040593838135,48.823888496914755
GroupKFold5,absolute,120,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Persistence,0.9678054016091,0.6255106494252873,0.8749855580459468,0.0,0.0
GroupKFold5,absolute,120,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N,0.981234521393875,0.5222399420770163,0.6680195947525287,16.509824004300338,23.65364335333978
GroupKFold5,absolute,120,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N+H,0.9890180517216753,0.3956221278255485,0.5110331533195315,36.75213552494398,41.595247073472684
GroupKFold5,absolute,120,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Spatial,0.9911905640089054,0.3327841600252598,0.4577026544449448,46.79800250706868,47.690261829337516
GroupKFold5,absolute,120,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Persistence,0.9670490596239564,0.5719634798850575,0.7843345948178314,0.0,0.0
GroupKFold5,absolute,120,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N,0.9800616864381195,0.4981582247955921,0.6101149616055909,12.903840487210372,22.212412197973315
GroupKFold5,absolute,120,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N+H,0.9882767459490205,0.3748672546198867,0.46783375380786324,34.45958215807406,40.35278350605946
GroupKFold5,absolute,120,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Spatial,0.9917387744259322,0.3035109186454854,0.3927260456578709,46.93526259640225,49.928761493800366
GroupKFold5,absolute,120,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Persistence,0.9657250207841767,0.5870361149425287,0.8174887747716509,0.0,0.0
GroupKFold5,absolute,120,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N,0.9786267010356988,0.5129147487347292,0.6455486513717835,12.626372436226697,21.0327198006964
GroupKFold5,absolute,120,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N+H,0.9873079401646563,0.37654399861203125,0.4974612459846333,35.85675752693764,39.147635865264434
GroupKFold5,absolute,120,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Spatial,0.9891272196683236,0.3322990309356866,0.46042988529976286,43.3937670141097,43.6775281191629
GroupKFold5,absolute,120,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Persistence,0.9719928229927038,0.5718551379310345,0.7540952205914463,0.0,0.0
GroupKFold5,absolute,120,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N,0.9835002776978707,0.47892556233398514,0.5788017527938664,16.25054483785308,23.245534915351286
GroupKFold5,absolute,120,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N+H,0.99258773267401,0.3062562951616401,0.38794222930402406,46.44512659802761,48.555272767840094
GroupKFold5,absolute,120,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Spatial,0.9922238100341418,0.29220287955179847,0.39735158610822296,48.90263981731716,47.30750503940667
GroupKFold5,residual,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",ZeroResidual,-0.005860590152346079,0.5920283102089761,0.7092763908281399,0.0,0.0
GroupKFold5,residual,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",H,0.41430070538428265,0.3965071879211204,0.5412326132736364,33.025637273805366,23.692284097923835
GroupKFold5,residual,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",SpatialResidual,0.6272187498515596,0.3426111042783737,0.43179105168661575,42.129270109154454,39.12231433750905
GroupKFold5,residual,120,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",ZeroResidual,-0.00183637797940861,0.5646160521451165,0.7130191374894834,0.0,0.0
GroupKFold5,residual,120,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",H,0.2626189445692404,0.41078434889306975,0.6117145007536197,27.245364822272037,14.207842596280656
GroupKFold5,residual,120,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",SpatialResidual,0.5480999869504928,0.3442111911499464,0.478876984480612,39.036237131019796,32.83813024055401
GroupKFold5,residual,120,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",ZeroResidual,-0.001132555077609565,0.5264599551864035,0.6229416157400653,0.0,0.0
GroupKFold5,residual,120,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",H,0.3470223365558558,0.35638939983932244,0.5030958277641805,32.30455681797569,19.2386870531207
GroupKFold5,residual,120,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",SpatialResidual,0.5861076843882758,0.3162471984795857,0.4005393923015545,39.929486494825206,35.70193703856069
GroupKFold5,residual,120,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",ZeroResidual,-0.004115258178458259,0.5416799054875667,0.6664551701978808,0.0,0.0
GroupKFold5,residual,120,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",H,0.30448803168677985,0.3700380093152663,0.5546658937488264,31.6869602201332,16.773712838908956
GroupKFold5,residual,120,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",SpatialResidual,0.5092454857792565,0.3487915019374328,0.4659199533205032,35.60929648599662,30.089828370276674
GroupKFold5,residual,120,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",ZeroResidual,-2.7017441520227337e-05,0.5387007910521481,0.6284268940051105,0.0,0.0
GroupKFold5,residual,120,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",H,0.4246431111076153,0.34704460644390844,0.4766697091137732,35.57748341781935,24.148741299748256
GroupKFold5,residual,120,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",SpatialResidual,0.622844255739869,0.282963791062956,0.38593063971825775,47.47292081931172,38.58782248184317
GroupKFold5,increment,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Persistence,-0.7173575468957007,0.6243554827586206,0.8675567423529071,0.0,0.0
GroupKFold5,increment,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N,0.4983170539299583,0.33013222672527354,0.4689021206929308,47.124316860863615,45.95141760742729
GroupKFold5,increment,120,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N+H,0.49990061928479435,0.3291434603389106,0.46816148954195586,47.28268279400065,46.03678737228742
