validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
LOSO,absolute,50,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,Spatial,0.9917604109684371,0.26912782634689375,0.39325908590534137,13.82627782555311,3.961267290640476
LOSO,absolute,50,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,Persistence,0.9861456319336659,0.3358549971830986,0.48401509821828526,0.0,0.0
LOSO,absolute,50,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,N,0.974814313674733,0.5506986279993518,0.6525930488320061,-63.96916306685964,-34.829068604321535
LOSO,absolute,50,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,N+H,0.9849757727775158,0.4011422743760517,0.5040360738830604,-19.43912633146273,-4.136436185250132
LOSO,absolute,50,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,Spatial,0.9901177456541599,0.30717230059179673,0.40878369240209644,8.54020241826709,15.543194022898085
LOSO,absolute,50,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,Persistence,0.9884086776034905,0.3581867267605634,0.4975941080260294,0.0,0.0
LOSO,absolute,50,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,N,0.9781343784012784,0.5499526241738054,0.6834230946206992,-53.537968630934635,-37.345495776037
LOSO,absolute,50,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,N+H,0.9860731074782189,0.4516707770808306,0.5454260151648425,-26.09925028929348,-9.612635352247976
LOSO,absolute,50,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,Spatial,0.991887814727676,0.31701309536060296,0.41627244803725655,11.495018749671235,16.34297084251626
LOSO,absolute,50,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,Persistence,0.9821013558165765,0.44574197183098585,0.6884202562473382,0.0,0.0
LOSO,absolute,50,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,N,0.978397045671748,0.5599096613321854,0.7563105300639029,-25.61295473976346,-9.8617484306233
LOSO,absolute,50,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,N+H,0.9867239944608229,0.4371624721824076,0.5928943146089123,1.924768182214478,13.876108492093085
LOSO,absolute,50,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,Spatial,0.9887425295265165,0.37637286853691027,0.5459639681559602,15.562614175444669,20.693215633706714
LOSO,absolute,50,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,Persistence,0.9834401888985048,0.41502500281690136,0.59730773439387,0.0,0.0
LOSO,absolute,50,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,N,0.9746423246953854,0.6067927205692263,0.7391373820996884,-46.20630478904618,-23.744820222316875
LOSO,absolute,50,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,N+H,0.9860999848644837,0.42992628678739575,0.547240316880199,-3.5904545194518,8.38218134986614
LOSO,absolute,50,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,Spatial,0.9886196027663785,0.3711573123083584,0.4951641108947952,10.569891021215478,17.100669825199418
LOSO,residual,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,ZeroResidual,-0.004446098422994371,0.596776157733508,0.699257631700753,0.0,0.0
LOSO,residual,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,H,0.36995651861294176,0.4085278651521877,0.5538079147412941,31.54420466398443,20.800590564266308
LOSO,residual,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,SpatialResidual,0.6511683585888857,0.316424410587354,0.41208028063556257,46.977705713127,41.06889049844333
LOSO,residual,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,ZeroResidual,-0.10544762433286459,0.5171040262833955,0.6811845539588077,0.0,0.0
