day,iteration_end_of_day,tumor_cells,crm_ms,frm_ms,frm_crm_ratio,kernel_delta_ms,kernel_mean_ms
125,3000,94513,9.284208,31.316034,3.373043128719219,22.031826,20.300120999999997
126,3024,96036,9.260784,30.698789,3.314923336944259,21.438005000000004,19.9797865
127,3048,97159,9.397263,30.999235,3.29875145561,21.601971999999996,20.198249
128,3072,99784,9.837102,32.210269,3.274365661756887,22.373166999999995,21.0236855
129,3096,101126,10.029228,30.382662,3.029411835088404,20.353434,20.205945
130,3120,102517,9.848269,30.872325,3.1347970897220616,21.024056,20.360297
131,3144,105789,10.336939,33.1022,3.2023213061429505,22.765261000000002,21.719569500000002
132,3168,104738,10.032172,32.04835,3.194557469708454,22.016178,21.040261
133,3192,107716,10.497898,32.356348,3.082173974256561,21.858449999999998,21.427122999999998
134,3216,110296,10.771464,33.46319,3.1066519834258366,22.691725999999996,22.117327
135,3240,114711,11.250438,38.39091,3.4123924775195413,27.140471999999995,24.820674
136,3264,116872,12.089826,35.485676,2.935168463135863,23.395849999999996,23.787751
137,3288,119176,12.308129,37.251652,3.0265893378270574,24.943523,24.7798905
138,3312,119880,12.371488,38.66726,3.1255140852903063,26.295772,25.519374
139,3336,122080,12.787166,37.88144,2.962457826855458,25.094274,25.334303
140,3360,124588,12.709758,40.382452,3.1772793785688127,27.672694,26.546105
141,3384,127559,13.357115,43.196134,3.2339419103601337,29.839019,28.2766245
142,3408,129483,13.66793,39.691223,2.9039673893559597,26.023293000000002,26.6795765
143,3432,130103,13.370107,38.524157,2.881364898575606,25.15405,25.947132000000003
144,3456,129820,13.454843,42.31137,3.14469444199386,28.856526999999996,27.883106499999997
145,3480,132494,13.479931,39.263129,2.912709938945533,25.783198,26.37153
146,3504,134436,13.788121,38.706205,2.8072139053609986,24.918083999999997,26.247163
147,3528,135715,14.215544,44.492096,3.129820146172387,30.276551999999995,29.35382
148,3552,138504,14.610997,40.856978,2.7963169111594506,26.245981,27.733987499999998
149,3576,140698,14.742805,44.685758,3.031021437236672,29.942953,29.7142815
150,3600,143972,15.217938,49.91722,3.280156615173488,34.699282,32.567579
