iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
2090,88,2,42383,0.0404196,0.364624,0.324204,16,0.25,2.41132,4.56192
2100,88,12,42393,0.0404291,0.367371,0.326941,17,0.265625,2.38056,4.65613
2110,88,22,43427,0.0414152,0.372314,0.330899,17,0.265625,2.38072,4.54861
2120,89,8,43290,0.0412846,0.375916,0.334631,17,0.265625,2.36709,4.60595
2130,89,18,42661,0.0406847,0.370422,0.329738,16,0.25,2.37586,4.75955
2140,90,4,43644,0.0416222,0.36554,0.323917,16,0.25,2.3561,4.83738
2150,90,14,44254,0.0422039,0.369263,0.327059,17,0.265625,2.34709,5.14867
2160,90,24,44792,0.042717,0.375427,0.33271,17,0.265625,2.3351,4.72371
2170,91,10,44077,0.0420351,0.357178,0.315143,17,0.265625,2.30559,4.63667
2180,91,20,44862,0.0427837,0.367065,0.324282,18,0.28125,2.28768,4.78515
2190,92,6,44997,0.0429125,0.370728,0.327815,18,0.28125,2.28168,4.50355
2200,92,16,45283,0.0431852,0.356567,0.313382,18,0.28125,2.24885,4.85786
2210,93,2,46432,0.044281,0.370972,0.326691,18,0.28125,2.23888,5.28282
2220,93,12,46734,0.044569,0.355896,0.311327,18,0.28125,2.22564,5.05446
2230,93,22,46981,0.0448046,0.356689,0.311885,18,0.28125,2.22801,4.8128
2240,94,8,47592,0.0453873,0.351257,0.30587,19,0.296875,2.2329,4.9367
2250,94,18,47849,0.0456324,0.376587,0.330955,18,0.28125,2.21188,4.8169
2260,95,4,48760,0.0465012,0.369507,0.323006,18,0.28125,2.20854,5.04115
2270,95,14,49078,0.0468044,0.369751,0.322947,18,0.28125,2.18381,5.08621
2280,95,24,49491,0.0471983,0.349854,0.302655,18,0.28125,2.15858,5.36166
2290,96,10,49462,0.0471706,0.35791,0.31074,19,0.296875,2.14051,5.11488
2300,96,20,50617,0.0482721,0.366455,0.318183,19,0.296875,2.12246,5.18554
2310,97,6,50373,0.0480394,0.360352,0.312312,19,0.296875,2.11755,4.98995
2320,97,16,50345,0.0480127,0.361877,0.313865,19,0.296875,2.1122,5.03914
2330,98,2,50498,0.0481586,0.352234,0.304075,19,0.296875,2.10634,5.02067
2340,98,12,50559,0.0482168,0.34552,0.297303,19,0.296875,2.08655,5.11286
2350,98,22,51195,0.0488234,0.362854,0.314031,19,0.296875,2.08728,5.01965
2360,99,8,51954,0.0495472,0.358704,0.309156,19,0.296875,2.07964,5.21421
2370,99,18,53078,0.0506191,0.375916,0.325296,19,0.296875,2.07071,5.58899
2380,100,4,53638,0.0511532,0.361267,0.310114,19,0.296875,2.0542,5.47533
2390,100,14,54264,0.0517502,0.376587,0.324837,20,0.3125,2.07216,6.07034
2400,100,24,54343,0.0518255,0.360168,0.308343,20,0.3125,2.06203,5.70982
2410,101,10,55084,0.0525322,0.371338,0.318806,19,0.296875,2.06644,6.03341
2420,101,20,56099,0.0535002,0.380493,0.326993,21,0.328125,2.04879,6.51878
2430,102,6,57127,0.0544806,0.393433,0.338952,21,0.328125,2.03515,6.15526
2440,102,16,57965,0.0552797,0.39679,0.34151,21,0.328125,2.03307,6.39488
2450,103,2,58969,0.0562372,0.406616,0.350379,21,0.328125,2.01489,6.38362
2460,103,12,60204,0.057415,0.407593,0.350178,23,0.359375,2.00357,7.21408
2470,103,22,60292,0.0574989,0.395264,0.337765,22,0.34375,1.99873,6.58022
2480,104,8,60399,0.057601,0.393738,0.336137,22,0.34375,1.9928,6.59866
2490,104,18,61409,0.0585642,0.397156,0.338592,22,0.34375,1.97684,7.09018
2500,105,4,61431,0.0585852,0.381592,0.323007,22,0.34375,1.96565,6.88134
